FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0077538	Dmel	0.239368518188352	0.262999690303729	0.231722584313395	0.265909207194524
FBpp0077490	Dmel	0.229482491512963	0.280667752609002	0.222627966577747	0.267221789300288
FBpp0077491	Dmel	0.23810216458424	0.26351282586116	0.232718777884827	0.265666231669774
FBpp0077537	Dmel	0.247479944656788	0.251964471789164	0.247316437515005	0.253239146039043
FBpp0077492	Dmel	0.207690579673465	0.30009520645867	0.193968292574656	0.29824592129321
FBpp0099943	Dmel	0	0.669074941406329	0	0.330925058593671
FBpp0301209	Dmel	0.168753146602816	0.345711757541768	0.15020571334873	0.335329382506686
FBpp0077532	Dmel	0.267979486171382	0.231560466556628	0.260871672012417	0.239588375259573
FBpp0077493	Dmel	0.245530502968052	0.249184400494041	0.246228056429644	0.259057040108264
FBpp0290288	Dmel	0.163622226444429	0.32174209787223	0.162558163742878	0.352077511940463
FBpp0288954	Dmel	0.0746063999499871	0.472934271650431	0.0364797120180397	0.415979616381542
FBpp0288953	Dmel	0.0547963952165026	0.345828696672825	0.548441691932952	0.050933216177721
FBpp0077497	Dmel	0.227807479909502	0.271175991847044	0.222941124433222	0.278075403810233
FBpp0302684	Dmel	0.134242865514963	0.387024944991719	0.114171861697671	0.364560327795647
FBpp0077499	Dmel	0	0.469638148988418	0.0313882798782145	0.498973571133368
FBpp0289895	Dmel	0.0545300844976756	0.466065324996457	0.03689334523893	0.442511245266937
FBpp0077500	Dmel	0	0.494935277187688	0.00239088515924082	0.502673837653071
FBpp0077526	Dmel	0.238984298659057	0.255719867800135	0.227724494554872	0.277571338985936
FBpp0077501	Dmel	0.240187143238806	0.258853022313285	0.264885671619629	0.23607416282828
FBpp0290874	Dmel	0.232954387355217	0.270132542592232	0.226636892885705	0.270276177166847
FBpp0077524	Dmel	0.245489811619931	0.264634199160934	0.228673575769282	0.261202413449854
FBpp0077502	Dmel	0.220351301805948	0.28421813323842	0.211089401812681	0.284341163142951
FBpp0077504	Dmel	0.187400758976218	0.331470292052076	0.172951456597215	0.308177492374491
FBpp0077505	Dmel	0.0538484033156267	0.444895519546312	0.0579688959549918	0.443287181183069
FBpp0077522	Dmel	0.240174761346299	0.273774503240377	0.204687723079944	0.28136301233338
FBpp0303514	Dmel	0.256828852450116	0.245321255770378	0.246116479844921	0.251733411934585
FBpp0111278	Dmel	0.28823135525979	0.198120685975626	0.28230854727721	0.231339411487374
FBpp0300178	Dmel	0.323300493798534	0.207459039207609	0.292129185633517	0.17711128136034
FBpp0300177	Dmel	0.230059423350035	0.368647160975754	0.191693885476204	0.209599530198007
FBpp0077517	Dmel	0.206925089674011	0.29535098261633	0.196298619655134	0.301425308054525
FBpp0077516	Dmel	0.264203486732572	0.242246557848132	0.253627052535435	0.239922902883861
FBpp0111280	Dmel	0.269340371009679	0.233958779244751	0.250007121332302	0.246693728413268
FBpp0077515	Dmel	0.239378808731053	0.271886584747315	0.227256594553391	0.261478011968241
FBpp0077514	Dmel	0.262201944244025	0.253961995775866	0.232886143134564	0.250949916845546
FBpp0289247	Dmel	0.262201944244025	0.253961995775866	0.232886143134564	0.250949916845546
FBpp0077507	Dmel	0.26073383002277	0.255020170739308	0.230165005471882	0.25408099376604
FBpp0077508	Dmel	0.242259532968464	0.275023896993255	0.223957057485078	0.258759512553204
FBpp0111928	Dmel	0.24514796809776	0.254290403099601	0.24065686013573	0.259904768666908
FBpp0100140	Dmel	0.241536344331256	0.260501530698291	0.236521874961008	0.261440250009445
FBpp0303000	Dmel	0.240202969788069	0.259894882009538	0.238952775999595	0.260949372202797
FBpp0077486	Dmel	0.0110019387038232	0.535760832819118	0	0.453237228477059
FBpp0077485	Dmel	0	0.541985987286313	0.00614963955330134	0.451864373160385
FBpp0077484	Dmel	0.0186097239582815	0.510748863707859	0.0171617637602795	0.45347964857358
FBpp0077431	Dmel	0.241768197937533	0.252850722469221	0.240120039366202	0.265261040227044
FBpp0077433	Dmel	0	0	0	1
FBpp0077481	Dmel	0	1	0	0
FBpp0077434	Dmel	0	0.531158417676618	0.00984019688061203	0.45900138544277
FBpp0291567	Dmel	0	0.611699521812594	0	0.388300478187406
FBpp0307158	Dmel	0	1	0	0
FBpp0077436	Dmel	0.129100431717137	0.497072640904207	0.0957949623965141	0.278031964982141
FBpp0077479	Dmel	0	0.42931376580652	0	0.57068623419348
FBpp0428413	Dmel	0.00545375168312197	0.530896454952719	0	0.463649793364159
